id,fixture,span_id,fps,start_frame,end_frame,video,raw_label_outcome,raw_label_reason,contains_source_rally,footage,opening,ending,note,start_seconds,end_seconds,review_method
10_011,10,11,30,36394,37186,10 Akane_YAMAGUCHI_AN_Seyoung_YONEX_All_England_Open_Badminton_Championships_2022_Finals.mp4,wrong,missing_known_contact,True,live,not_visible,visible,Camera returns from a player close-up at the proposed start; rally continues to a visible finish.,1213.133,1239.533,2 fps samples across interval; 2 seconds before and after
10_022,10,22,30,47408,47578,10 Akane_YAMAGUCHI_AN_Seyoung_YONEX_All_England_Open_Badminton_Championships_2022_Finals.mp4,wrong,missing_known_contact,True,live,not_visible,visible,Broadcast transition returns to an overhead exchange; the opening is not shown in these samples.,1580.267,1585.933,2 fps samples across interval; 2 seconds before and after
15_009,15,9,30,27165,27515,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Close-up changes to the main court at the proposed start; one continuous exchange ends before the next close-up.,905.5,917.167,2 fps samples across interval; 2 seconds before and after
15_014,15,14,30,30242,30903,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Camera changes from the server close-up to the court at the proposed start; one rally and its finish are visible.,1008.067,1030.1,2 fps samples across interval; 2 seconds before and after
15_033,15,33,30,47399,47905,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,wrong,known_partial,False,live,unclear,visible,Camera changes from the server close-up to the court at the proposed start; one rally and its finish are visible.,1579.967,1596.833,2 fps samples across interval; 2 seconds before and after
15_037,15,37,30,50326,50607,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,1677.533,1686.9,2 fps samples across interval; 2 seconds before and after
15_065,15,65,30,79998,80211,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,2666.6,2673.7,2 fps samples across interval; 2 seconds before and after
15_068,15,68,30,83263,83447,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,2775.433,2781.567,2 fps samples across interval; 2 seconds before and after
15_073,15,73,30,87254,87812,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,2908.467,2927.067,2 fps samples across interval; 2 seconds before and after
15_101,15,101,30,119741,119912,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,3991.367,3997.067,2 fps samples across interval; 2 seconds before and after
15_109,15,109,30,126195,126470,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,not_visible,visible,Broadcast transition returns to an exchange already under way; its finish is visible.,4206.5,4215.667,2 fps samples across interval; 2 seconds before and after
15_118,15,118,30,136347,136881,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,4544.9,4562.7,2 fps samples across interval; 2 seconds before and after
15_136,15,136,30,253658,254038,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,not_visible,visible,Broadcast transition returns to an exchange already under way; its finish is visible.,8455.267,8467.933,2 fps samples across interval; 2 seconds before and after
15_139,15,139,30,255825,256193,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Serve action appears in a close-up at the proposed start; the court view then shows one rally and its finish.,8527.5,8539.767,2 fps samples across interval; 2 seconds before and after
15_145,15,145,30,260816,261682,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,not_visible,visible,Broadcast transition returns to an exchange already under way; its finish is visible.,8693.867,8722.733,2 fps samples across interval; 2 seconds before and after
15_170,15,170,30,287776,288161,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,before_start,visible,Serve action appears in the close-up before the proposed interval; the court view begins during play.,9592.533,9605.367,2 fps samples across interval; 2 seconds before and after
15_172,15,172,30,289414,289928,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,before_start,visible,Serve action appears in the close-up before the proposed interval; the court view begins during play.,9647.133,9664.267,2 fps samples across interval; 2 seconds before and after
15_174,15,174,30,291033,291430,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,9701.1,9714.333,2 fps samples across interval; 2 seconds before and after
15_180,15,180,30,295755,296060,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,9858.5,9868.667,2 fps samples across interval; 2 seconds before and after
15_181,15,181,30,296532,296915,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,9884.4,9897.167,2 fps samples across interval; 2 seconds before and after
15_185,15,185,30,299712,300197,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,9990.4,10006.567,2 fps samples across interval; 2 seconds before and after
15_187,15,187,30,301434,302420,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Receiver close-up changes to the court around the opening; one continuous rally ends with the shuttle being collected.,10047.8,10080.667,2 fps samples across interval; 2 seconds before and after
15_193,15,193,30,309512,309703,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,before_start,visible,Serve action appears in the close-up before the proposed interval; the court view begins during play.,10317.067,10323.433,2 fps samples across interval; 2 seconds before and after
15_194,15,194,30,310204,311500,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,10340.133,10383.333,2 fps samples across interval; 2 seconds before and after
15_195,15,195,30,313065,313269,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,10435.5,10442.3,2 fps samples across interval; 2 seconds before and after
15_198,15,198,30,315936,316222,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,10531.2,10540.733,2 fps samples across interval; 2 seconds before and after
15_226,15,226,30,345168,345638,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,11505.6,11521.267,2 fps samples across interval; 2 seconds before and after
15_235,15,235,30,356206,356838,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,11873.533,11894.6,2 fps samples across interval; 2 seconds before and after
15_239,15,239,30,363253,363591,15 AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals.mp4,unjudgeable,no_source_labels,False,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,12108.433,12119.7,2 fps samples across interval; 2 seconds before and after
19_021,19,21,30,28989,29120,19 Viktor_AXELSEN_LEE_Zii_Jia_EAST_VENTURES_Indonesia_Open_2022_Semifinals.mp4,wrong,known_partial,False,live,before_start,visible,Serve action appears in the close-up before the proposed interval; the court view begins during play.,966.3,970.667,2 fps samples across interval; 2 seconds before and after
19_056,19,56,30,66849,67209,19 Viktor_AXELSEN_LEE_Zii_Jia_EAST_VENTURES_Indonesia_Open_2022_Semifinals.mp4,wrong,missing_known_contact,True,replay_then_live,not_visible,visible,"Proposed start at 2228.30 s includes a replay from a low court angle. Broadcast returns to live play around 2232.30 s, with the rally already under way.",2228.3,2240.3,2 fps samples across interval; 2 seconds before and after
20_036,20,36,30,83682,84471,20 Kento_MOMOTA_Kunlavut_VITIDSARN_Malaysia_Open_2022_ Semi_finals.mp4,wrong,missing_known_contact,True,replay_then_live,not_visible,visible,"Interval starts with a close-up, includes a replay around 2791–2799 s, then returns to an exchange already under way.",2789.4,2815.7,2 fps samples across interval; 2 seconds before and after
22_000,22,0,30,15529,16385,22 Viktor_AXELSEN_Kento_MOMOTA_PETRONAS_Malaysia_Open_2022_Finals.mp4,wrong,missing_known_contact,True,live,visible_setup,visible,Long pre-serve lead-in: close-up and standing players precede the serve around 529 s. One live rally follows.,517.633,546.167,2 fps samples across interval; 2 seconds before and after
22_017,22,17,30,33434,33892,22 Viktor_AXELSEN_Kento_MOMOTA_PETRONAS_Malaysia_Open_2022_Finals.mp4,wrong,missing_known_contact,True,replay_then_live,not_visible,visible,Interval starts during a replay; broadcast returns to live play around 1119 s with the exchange under way.,1114.467,1129.733,2 fps samples across interval; 2 seconds before and after
27_006,27,6,30,23334,24295,27 An_Se_Young_Chen_Yu_Fei_PERODUA_Malaysia_Masters_2022_Finals.mp4,wrong,missing_known_contact,True,replay_then_live,not_visible,visible,Interval starts during a replay with two camera angles; live play resumes around 788 s with the exchange under way.,777.8,809.833,2 fps samples across interval; 2 seconds before and after
27_027,27,27,30,42716,43155,27 An_Se_Young_Chen_Yu_Fei_PERODUA_Malaysia_Masters_2022_Finals.mp4,unjudgeable,unknown_human_side,True,live,visible_setup,visible,"Replay ends just before the proposed start; the main court shows players preparing, then a single rally.",1423.867,1438.5,2 fps samples across interval; 2 seconds before and after
29_053,29,53,30,70839,71050,29 EAST_VENTURES_Indonesia_Open_2022_Zhao_Jun_Peng_PRANNOY_H._S._Semifinals.mp4,wrong,known_partial,False,live,before_start,visible,Serve action appears in the close-up before the proposed interval; the court view begins during play.,2361.3,2368.333,2 fps samples across interval; 2 seconds before and after
35_049,35,49,30,70163,70983,35 Akane_YAMAGUCHI_AN_Se_Young_DAIHATSU_YONEX_Japan_Open_2022_Finals.mp4,wrong,missing_known_contact,True,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,2338.767,2366.1,2 fps samples across interval; 2 seconds before and after
43_138,43,138,30,174053,174288,43 LI_Shi_Feng_Kodai_NARAOKAGR_Thailand_Open_2022_Semi_finals.mp4,unjudgeable,no_source_labels,False,live,visible_setup,visible,Broadcast transition ends at the proposed start; players prepare for a short exchange and then collect the shuttle.,5801.767,5809.6,2 fps samples across interval; 2 seconds before and after
51_022,51,22,30,38492,38861,51 Viktor_AXELSEN_Kodai_NARAOKA_YONEX_French_Open_2022_Semifinals.mp4,wrong,missing_known_contact,True,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,1283.067,1295.367,2 fps samples across interval; 2 seconds before and after
51_029,51,29,30,48343,48598,51 Viktor_AXELSEN_Kodai_NARAOKA_YONEX_French_Open_2022_Semifinals.mp4,wrong,missing_known_contact,True,live,unclear,visible,Server close-up changes to the court around the opening; one live exchange and its finish are visible.,1611.433,1619.933,2 fps samples across interval; 2 seconds before and after
52_000,52,0,30,6755,6968,52 SHI_Yu_Qi_Kodai_NARAOKA_Denmark_Open_2022_SemiFinals.mp4,unjudgeable,no_source_labels,False,apparent_warmup,not_visible,not_visible,Scoreboard remains 0–0; players casually hit back and forth before the match. Stroke preparation continues in the close-up after the proposed end. This appears to be warm-up footage.,225.167,232.267,2 fps samples across interval; 2 seconds before and after
54_040,54,40,30,58902,59211,54 Carolina_MARIN_Akane_YAMAGUCHI_French_Open_2022_SemiFinals.mp4,wrong,missing_known_contact,True,live,not_visible,visible,Broadcast transition returns to an exchange already under way; its finish is visible.,1963.4,1973.7,2 fps samples across interval; 2 seconds before and after
57_032,57,32,30,41593,41948,57 CHEN_Yu_Fei_PUSARLA_V._Sindhu_Thailand_Open_2022_SemiFinals.mp4,wrong,missing_known_contact,True,live,not_visible,visible,Broadcast transition returns to an exchange already under way; its finish is visible.,1386.433,1398.267,2 fps samples across interval; 2 seconds before and after
